County  Code,County  Name,Constituency Code,Constituency Name,Ward Code,Ward Name,Candidate Surname,Candidate Other Names,Party Code,Political  Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
34,Kajiado,183,Kajiado North,915,Ngong,Kata,Alexander Mbuvi,14,Party Of National Unity,PNU,PNU,14
34,Kajiado,183,Kajiado North,915,Ngong,Kihika,Kenneth Njuguna,Ind,Independent,IND,IND_CAW915_02,IND_CAW915_02
34,Kajiado,183,Kajiado North,915,Ngong,Mbiriri,James  Mwaura,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,183,Kajiado North,915,Ngong,Mutua,Killian Wambua,44,Party Of Democratic Unity,PDU,PDU,44
34,Kajiado,183,Kajiado North,915,Ngong,Muya,Simon  Maina,Ind,Independent,IND,IND_CAW915_03,IND_CAW915_03
34,Kajiado,183,Kajiado North,915,Ngong,Sungura,Robert Muoria,Ind,Independent,IND,IND_CAW915_04,IND_CAW915_04
34,Kajiado,183,Kajiado North,915,Ngong,Waithaka,Joseph  Kimani,22,Peoples Party Of Kenya,PPK,PPK,22
34,Kajiado,183,Kajiado North,915,Ngong,Wambui,Bonface Mburu,83,National Ordinary Peoples Empowerment Union,NOPEU,NOPEU,83
34,Kajiado,184,Kajiado Central,916,Purko,Kipaika,Nteri  Ole Meriko Obo,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,184,Kajiado Central,916,Purko,Naikuni,Daniel  Turpesio,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,184,Kajiado Central,916,Purko,Pushati,Moses  Kosen,27,Jubilee Party,JP,JP,27
34,Kajiado,184,Kajiado Central,916,Purko,Saitoti,Simon  Mumeita,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,184,Kajiado Central,917,Ildamat,Karanja,Nicholas Kamau,82,The Service Party,TSP,TSP,82
34,Kajiado,184,Kajiado Central,917,Ildamat,Kilel,Ezekiel Sirimon,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,184,Kajiado Central,917,Ildamat,Mutunkei,Joseph,27,Jubilee Party,JP,JP,27
34,Kajiado,184,Kajiado Central,917,Ildamat,Ombori,Samuel Migosi,Ind,Independent,IND,IND_CAW917_01,IND_CAW917_01
34,Kajiado,184,Kajiado Central,917,Ildamat,Risa,Fredrick Parsitau,Ind,Independent,IND,IND_CAW917_02,IND_CAW917_02
34,Kajiado,184,Kajiado Central,917,Ildamat,Sencha,Michael Saab,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,184,Kajiado Central,917,Ildamat,Teum,Samuel Somporuan,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,184,Kajiado Central,918,Dalalekutuk,Akenga,Bonface Angwenyi,44,Party Of Democratic Unity,PDU,PDU,44
34,Kajiado,184,Kajiado Central,918,Dalalekutuk,Lesere,Nkitinyo  Ole,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,184,Kajiado Central,918,Dalalekutuk,Loisa,John  Ntione Lemaiyan,15,United Democratic Alliance,UDA,UDA,15
