County Code,County Name,Constituency Code,Constituency Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
2,Kwale,9,Matuga,Mwanyoha,Hassan Mohamed,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,9,Matuga,Omar,Suleiman Mohammed,34,Safina,SAFINA,SAFINA,34
2,Kwale,9,Matuga,Tandaza,Kassim Sawa,62,Amani National Congress,ANC,ANC,62
2,Kwale,9,Matuga,Warrakah,Suleman Mwamlole,Ind,Independent,IND,IND_NAM9_01,IND_NAM9_01
2,Kwale,10,Kinango,Chiwai,Neema Kwekwe,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
2,Kwale,10,Kinango,Christantus,Charo Tsuma,44,Party Of Democratic Unity,PDU,PDU,44
2,Kwale,10,Kinango,Hassan,Zuleikha Juma,21,Orange Democratic Movement,ODM,ODM,21
2,Kwale,10,Kinango,Kamanza,Boniface Mwatela,33,Kenya African National Union,KANU,KANU,33
2,Kwale,10,Kinango,Kamanza,Seth Mwatela,Ind,Independent,IND,IND_NAM10_01,IND_NAM10_01
2,Kwale,10,Kinango,Mrina,Salim Yawa,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
2,Kwale,10,Kinango,Mwambeyu,Simon Beja,41,United Democratic Movement,UDM,UDM,41
2,Kwale,10,Kinango,Mwero,Dicky Chikoza,Ind,Independent,IND,IND_NAM10_02,IND_NAM10_02
2,Kwale,10,Kinango,Samuel,Rai Gonzi,91,Pamoja African Alliance,PAA,PAA,91
2,Kwale,10,Kinango,Tayari,Benjamin Dalu Stephen,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,11,Kilifi North,Baya,Owen Yaa,15,United Democratic Alliance,UDA,UDA,15
3,Kilifi,11,Kilifi North,Chai,Eliud Kalama,21,Orange Democratic Movement,ODM,ODM,21
3,Kilifi,11,Kilifi North,Gongolo,Norbert Mwabonje,34,Safina,SAFINA,SAFINA,34
3,Kilifi,11,Kilifi North,Jefwa,Ian Amani,91,Pamoja African Alliance,PAA,PAA,91
