County Code,County Name,Candidate Surname,Candidate Other Names,Running Mate Surname,Running Mate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
39,Bungoma,Wangamati,Wycliffe Wafula,Wekesa,Evans Murumba,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
40,Busia,Bunyasi,Sakwa  John,Murunga,Lawrence Okaale,62,Amani National Congress,ANC,ANC,62
40,Busia,Mogoria,Daniel Eliud Nyongesa,Adeya,Stephen Wenseslas,37,National Agenda Party Of Kenya,NAPK,NAPK,37
40,Busia,Nyongesa,Otuoma Paul,Odera,Arthur Papa,21,Orange Democratic Movement,ODM,ODM,21
40,Busia,Okhoba,Moses Mulomi,Ipomai,Tom Denis Omonya,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
40,Busia,Oloo,Michael Otieno,Chemoo,John  Ngune,71,National Liberal Party,NLP,NLP,71
41,Siaya,Oduor,Millicent C Adhiambo,Ochanda,Barack Oketch,15,United Democratic Alliance,UDA,UDA,15
41,Siaya,Orengo,James Aggrey,Oduol,William Odhiambo,21,Orange Democratic Movement,ODM,ODM,21
41,Siaya,Wajonya,Eng Nicolas Gumbo,Aol,David Ohito,41,United Democratic Movement,UDM,UDM,41
41,Siaya,William,Ochieng Otieno,Otiato,Fredrick Ouma,Ind,Independent,IND,IND_GOV41_01,IND_GOV41_01
42,Kisumu,Meso,Beryl Awuor,Ochieng,Phabian,Ind,Independent,IND,IND_GOV42_01,IND_GOV42_01
42,Kisumu,Nyongo,Peter Anyang',Owili,Mathew Ochieng,21,Orange Democratic Movement,ODM,ODM,21
42,Kisumu,Osenya,Francis  Erick Otieno,Musuku,Joab   Nelton,15,United Democratic Alliance,UDA,UDA,15
42,Kisumu,Ranguma,Jackton Nyanungo,Ndalo,Tom Ochieng,72,Movement For Democracy And Growth,MDG,MDG,72
43,Homa Bay,Kidero,Evans Odhiambo,Kodoh,Elijah Odondi,Ind,Independent,IND,IND_GOV43_01,IND_GOV43_01
