County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
21,Murang'a,Nganga,Boniface Ndegwa,34,Safina,SAFINA,SAFINA,34
21,Murang'a,Ngugi,Joe Joseph Nyutu,15,United Democratic Alliance,UDA,UDA,15
21,Murang'a,Wambui,Pius Kinuthia,21,Orange Democratic Movement,ODM,ODM,21
22,Kiambu,Carolyne,Kigunda Makena,9,Kenya National Congress,KNC,KNC,9
22,Kiambu,Gathekia,Alice Wangari,88,Tujibebe Wakenya Party,JIBEBE,JIBEBE,88
22,Kiambu,Maara,George Jonathan,27,Jubilee Party,JP,JP,27
22,Kiambu,Mugwe,John Gathigi,Ind,Independent,IND,IND_SEN22_01,IND_SEN22_01
22,Kiambu,Waikenda,Machel T Karanja,87,Chama Cha Kazi,KAZI,KAZI,87
22,Kiambu,Wangongu,George Njoroge,34,Safina,SAFINA,SAFINA,34
22,Kiambu,Wanjiru,Joseph Kamau,80,Usawa Kwa Wote Party,USAWA,USAWA,80
23,Turkana,Apetet,Jane Nashida,34,Safina,SAFINA,SAFINA,34
23,Turkana,Bernard,Epakan Kebo,68,Democratic Congress,DC,DC,68
23,Turkana,Charles,Malachy Ekal Imana,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
23,Turkana,Ekomwa,James Lomenen,27,Jubilee Party,JP,JP,27
23,Turkana,Ewoton,Pius Atok,Ind,Independent,IND,IND_SEN23_01,IND_SEN23_01
23,Turkana,Imoni,Joseph Ekalale,21,Orange Democratic Movement,ODM,ODM,21
23,Turkana,Lokamar,Benedict Edapal,15,United Democratic Alliance,UDA,UDA,15
23,Turkana,Lomulen,Peter Lokol,14,Party Of National Unity,PNU,PNU,14
23,Turkana,Ng'asike,Philemon Ong'ao,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
24,West Pokot,Kapchok,Dennis Ruto William,34,Safina,SAFINA,SAFINA,34
24,West Pokot,Lipale,Geoffrey,89,Kenya Union Party,KUP,KUP,89
24,West Pokot,Poghisio,Samuel Losuron,33,Kenya African National Union,KANU,KANU,33
24,West Pokot,Recha,Julius Murgor,15,United Democratic Alliance,UDA,UDA,15
25,Samburu,Lelegwe,Steve Ltumbesi,15,United Democratic Alliance,UDA,UDA,15
25,Samburu,Lenkolos,Lkitonga,27,Jubilee Party,JP,JP,27
25,Samburu,Leparachau,Joshua Sambiyen,13,Democratic Party Of Kenya,DP,DP,13
25,Samburu,Lepariyo,Joseph Partamei,21,Orange Democratic Movement,ODM,ODM,21
26,Trans Nzoia,Chemuigut,Peter Kiptanui,Ind,Independent,IND,IND_SEN26_01,IND_SEN26_01
26,Trans Nzoia,Chesang,Allan Kiprotich,15,United Democratic Alliance,UDA,UDA,15
26,Trans Nzoia,Maina,Teresia Wangare,Ind,Independent,IND,IND_SEN26_02,IND_SEN26_02
26,Trans Nzoia,Masibo,Robert Simiyu,89,Kenya Union Party,KUP,KUP,89
26,Trans Nzoia,Morei,Mercy Cheptoo,Ind,Independent,IND,IND_SEN26_03,IND_SEN26_03
26,Trans Nzoia,Muchilwa,Jethrone Ayumba,Ind,Independent,IND,IND_SEN26_04,IND_SEN26_04
26,Trans Nzoia,Muliro,Musoke Naburuku,21,Orange Democratic Movement,ODM,ODM,21
26,Trans Nzoia,Ndiema,Henry Tiole,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
26,Trans Nzoia,Okore,Dendrick Okech,27,Jubilee Party,JP,JP,27
26,Trans Nzoia,Wakoli,Martin Bulimo,62,Amani National Congress,ANC,ANC,62
26,Trans Nzoia,Werunga,Joshua Mutoto,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
26,Trans Nzoia,Yego,Helen J  C,54,Chama Cha Mashinani,CCM,CCM,54
27,Uasin Gishu,Kemei,Robert Rotich,Ind,Independent,IND,IND_SEN27_01,IND_SEN27_01
