County Code,County Name,Candidate Surname,Candidate Other Names,Party Code,Political Party Name,Abbreviation,Abbreviation Enhanced,Party Code Enhanced
25,Samburu,Leseeto,Jespa,62,Amani National Congress,ANC,ANC,62
25,Samburu,Leshoomo,Maison,27,Jubilee Party,JP,JP,27
26,Trans Nzoia,Gladys,Mulati Nekesa,2,The National Vision Party,NVP,NVP,2
26,Trans Nzoia,Kamau,Eunice Wanjiru Karanja,82,The Service Party,TSP,TSP,82
26,Trans Nzoia,Kemunto,Naomi Okul,21,Orange Democratic Movement,ODM,ODM,21
26,Trans Nzoia,Khatundi,Phanice Naliaka Wanyonyi,85,Democratic Action Party-Kenya,DAP-K,DAP-K,85
26,Trans Nzoia,Mukasa,Pauline Mwengi Petro,Ind,Independent,IND,IND_WMNA26_01,IND_WMNA26_01
26,Trans Nzoia,Nakhumicha,Susan Wafula,23,Forum For Restoration Of Democracy-Kenya,FORD-KENYA,FORD-KENYA,23
26,Trans Nzoia,Nangabo,Janet Wanyama,Ind,Independent,IND,IND_WMNA26_02,IND_WMNA26_02
26,Trans Nzoia,Nelima,Susan,27,Jubilee Party,JP,JP,27
26,Trans Nzoia,Siyoi,Lillian Chebet,15,United Democratic Alliance,UDA,UDA,15
27,Uasin Gishu,Kemboi,Dorcas Jebet,21,Orange Democratic Movement,ODM,ODM,21
27,Uasin Gishu,Shollei,Gladys Jepkosgei Boss,15,United Democratic Alliance,UDA,UDA,15
28,Elgeyo Marakwet,Chebaibai,Jane Jepkorir Kiptoo,15,United Democratic Alliance,UDA,UDA,15
28,Elgeyo Marakwet,Kipchumba,Rose Jemutai,40,The New Democrats,TND,TND,40
28,Elgeyo Marakwet,Ng'elechei,Caroline Jeptoo,Ind,Independent,IND,IND_WMNA28_01,IND_WMNA28_01
29,Nandi,Korir,Truphena Tongoi,44,Party Of Democratic Unity,PDU,PDU,44
29,Nandi,Muge,Cynthia Jepkosgei,15,United Democratic Alliance,UDA,UDA,15
29,Nandi,Ruttoh,Stellah Chepkemboi,Ind,Independent,IND,IND_WMNA29_01,IND_WMNA29_01
30,Baringo,Cheruiyot,Gladwell Jesire Tungo,33,Kenya African National Union,KANU,KANU,33
30,Baringo,Kipkogei,Sarah Jepkorir,54,Chama Cha Mashinani,CCM,CCM,54
30,Baringo,Lomong,Rebecca Arupe Rutto,89,Kenya Union Party,KUP,KUP,89
30,Baringo,Sergon,Flowrence Jematiah,15,United Democratic Alliance,UDA,UDA,15
30,Baringo,Torono,Naomi,3,The Labour Party Of Kenya,LPK,LPK,3
31,Laikipia,Apollos,Jane Agnes Wanjira,Ind,Independent,IND,IND_WMNA31_01,IND_WMNA31_01
31,Laikipia,Gitonga,Purity Kendi,Ind,Independent,IND,IND_WMNA31_02,IND_WMNA31_02
31,Laikipia,Kagiri,Jane Wangechi,15,United Democratic Alliance,UDA,UDA,15
31,Laikipia,Kamau,Dorcas Nyokabi,Ind,Independent,IND,IND_WMNA31_03,IND_WMNA31_03
31,Laikipia,Muchiri,Wadayana Beth Waithira,82,The Service Party,TSP,TSP,82
31,Laikipia,Ndiritu,Virginia Wambui,27,Jubilee Party,JP,JP,27
31,Laikipia,Wamae,Jane Wanjiru,80,Usawa Kwa Wote Party,USAWA,USAWA,80
31,Laikipia,Warutere,Teresa Nyaguthii,1,National Rainbow Coalition-Kenya,NARC-KENYA,NARC-KENYA,1
32,Nakuru,Chelule,Liza Chepkorir,15,United Democratic Alliance,UDA,UDA,15
32,Nakuru,Cheptanui,Eunice Lelei,62,Amani National Congress,ANC,ANC,62
32,Nakuru,Githinji,Agnes Njambi,27,Jubilee Party,JP,JP,27
32,Nakuru,Ibrahim,Zaituna Zainabu,41,United Democratic Movement,UDM,UDM,41
32,Nakuru,Kairo,Jeniffer Kajuju,Ind,Independent,IND,IND_WMNA32_01,IND_WMNA32_01
32,Nakuru,Mamasoko,Eunice Muriithi,61,Ubuntu Peoples Forum,UPF,UPF,61
32,Nakuru,Mbugua,Mary Njoki G,Ind,Independent,IND,IND_WMNA32_02,IND_WMNA32_02
32,Nakuru,Murathimme,Anne Wanjiru,80,Usawa Kwa Wote Party,USAWA,USAWA,80
32,Nakuru,Mwaniki,Philomena Njeri,Ind,Independent,IND,IND_WMNA32_03,IND_WMNA32_03
32,Nakuru,Nyakiba,Rose,21,Orange Democratic Movement,ODM,ODM,21
33,Narok,Chepkoech,Risper,Ind,Independent,IND,IND_WMNA33_01,IND_WMNA33_01
33,Narok,Emily,Chepkemoi Korir,54,Chama Cha Mashinani,CCM,CCM,54
33,Narok,Jane,Nawai Nampaso,27,Jubilee Party,JP,JP,27
33,Narok,Koini,Stellah Malaso,33,Kenya African National Union,KANU,KANU,33
33,Narok,Masikonte,Lydia Naneu,21,Orange Democratic Movement,ODM,ODM,21
33,Narok,Tonkei,Rebecca Noonaishi,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,Abdulkadir,Halima Shariff,Ind,Independent,IND,IND_WMNA34_01,IND_WMNA34_01
34,Kajiado,Mathenge,Lucy Wachuka,82,The Service Party,TSP,TSP,82
34,Kajiado,Moinkett,Jenipher Sayianka,21,Orange Democratic Movement,ODM,ODM,21
34,Kajiado,Nampaso,Jane,65,Kenya Reform Party,KRP,KRP,65
34,Kajiado,Sankaire,Leah Sopiato,15,United Democratic Alliance,UDA,UDA,15
34,Kajiado,Sekeyian,Tito Josphine,12,Wiper Democratic Movement- Kenya,WDM,WDM,12
34,Kajiado,Simayiai,Rakita Justine,27,Jubilee Party,JP,JP,27
36,Bomet,Birir,Florence Cherono,Ind,Independent,IND,IND_WMNA36_01,IND_WMNA36_01
36,Bomet,Chepkemoi,Beatrice,Ind,Independent,IND,IND_WMNA36_02,IND_WMNA36_02
36,Bomet,Chepkorir,Linet,15,United Democratic Alliance,UDA,UDA,15
36,Bomet,Cherono,Viola Tesot,Ind,Independent,IND,IND_WMNA36_03,IND_WMNA36_03
